            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2456605.500000000, A.D. 2013-Nov-09 00:00:00.0000,  6.032889289676374E+00, -2.522627080092550E+01, -9.946670797010082E+00,  3.245634260709298E-03, -7.408032708227949E-03, -2.871502513173834E-03,
2456635.500000000, A.D. 2013-Dec-09 00:00:00.0000,  6.130220923020231E+00, -2.544835583194634E+01, -1.003275438488269E+01,  3.243145970361984E-03, -7.397667980368711E-03, -2.867416044177731E-03,
2456665.500000000, A.D. 2014-Jan-08 00:00:00.0000,  6.227478326741192E+00, -2.567013276476161E+01, -1.011871651065952E+01,  3.240685625909200E-03, -7.387485960639821E-03, -2.863404587301582E-03,
2456695.500000000, A.D. 2014-Feb-07 00:00:00.0000,  6.324662356920768E+00, -2.589160718291744E+01, -1.020455939572481E+01,  3.238253629578934E-03, -7.377499910131663E-03, -2.859466320429769E-03,
2456725.500000000, A.D. 2014-Mar-09 00:00:00.0000,  6.421773813021875E+00, -2.611278453954059E+01, -1.029028519933285E+01,  3.235847947083103E-03, -7.367686556726133E-03, -2.855598914179884E-03,
2456755.500000000, A.D. 2014-Apr-08 00:00:00.0000,  6.518813502209791E+00, -2.633367011361824E+01, -1.037589602053246E+01,  3.233469110964936E-03, -7.358046939072893E-03, -2.851800506042826E-03,
2456785.500000000, A.D. 2014-May-08 00:00:00.0000,  6.615782224677012E+00, -2.655426904599200E+01, -1.046139390078149E+01,  3.231116774553537E-03, -7.348576337870664E-03, -2.848069208824440E-03,
2456815.500000000, A.D. 2014-Jun-07 00:00:00.0000,  6.712680770210746E+00, -2.677458633853399E+01, -1.054678082597192E+01,  3.228790590953059E-03, -7.339270206488993E-03, -2.844403204807590E-03,
2456845.500000000, A.D. 2014-Jul-07 00:00:00.0000,  6.809509922110621E+00, -2.699462685944439E+01, -1.063205873087659E+01,  3.226490502871369E-03, -7.330124058811643E-03, -2.840801034881204E-03,
2456875.500000000, A.D. 2014-Aug-06 00:00:00.0000,  6.906275874931596E+00, -2.721440736597610E+01, -1.071723078288774E+01,  3.224462562339708E-03, -7.321679979011046E-03, -2.837318141584918E-03,
2456905.500000000, A.D. 2014-Sep-05 00:00:00.0000,  7.002975918562282E+00, -2.743392481962740E+01, -1.080229797307773E+01,  3.222211520032964E-03, -7.312841729183324E-03, -2.833837910340193E-03,
2456935.500000000, A.D. 2014-Oct-05 00:00:00.0000,  7.099608822467330E+00, -2.765317934688773E+01, -1.088726164769346E+01,  3.219986174432739E-03, -7.304151078797700E-03, -2.830416712770254E-03,
2456965.500000000, A.D. 2014-Nov-04 00:00:00.0000,  7.196175333376260E+00, -2.787217532502088E+01, -1.097212354727083E+01,  3.217785263700554E-03, -7.295604499354047E-03, -2.827052659646768E-03,
